nombre app,url,descripción,numRatings,ratings4,ratings5,recentChanges,reviews
Vademécum de medicamentos,https://play.google.com/store/apps/details?id=com.luis.dosismedicamentos,"Esta aplicación es un vademécum de medicamentos que contiene las dosis en adultos y en pediatría de más de 1,200 principios activos de medicamentos. Además contiene información básica tal como el grupo o categoría, indicaciones, dosis máxima, vida media y mecanismo de acción de cada medicamento. Tiene un útil buscador para facilitar la búsqueda de un medicamento sin recorrer la lista. La información presentada en esta aplicación es altamente confiable pues fue preparada por un médico con mucha experiencia en la atención de pacientes, usando fuentes bibliográficas confiables, además que las dosis en pediatría fueron cuidosamente revisadas y validadas por un pediatra. Si en el buscador se escribe embarazo le aparecerá un listado con la categoría de riesgo de uso de un medicamento en el embarazo. Está dirigido a los profesionales de la salud de todo el mundo (médicos, farmacólogos, odontólogos, enfermeras (os), estudiantes de medicina, farmacología y enfermería, paramédicos empleados de farmacias y todas aquellas personas que deseen conocer los datos básicos de un medicamentos)",675,4.8,100,547,[],"[Exelente me encanata el uso y funcionamiento ademas te desglosa para que es como funciona, lo unico tal vez serian terminos un poco mas faciles para que sean entendibles para personas que no estan muy relacionadas con la sustancia pero para mi. 5 estrellas !! Genial, Esta aplicación es muy buena y me ah resultado muy útil como estudiante de enfermería Y estoy realizando un trabajo de investigación sobre esta aplicación y me gustaría saber con que fin fue creada o si tiene algún link para obtener mas información sobre la misma, Te doy Diez no inventes esta súper genial me mega encanto mis tareas resueltas ?has de dimisión de medicamentos así súper fácil???, Muuuuuy buena... Esta muy bien esta app.. resumida y al grano. Si me permiten una critica, quizá sería buena idea agregar nombres comerciales para cuando quieres saber que sustancias contiene algún medicamento de patente.., excelente app soy estudiante de enfermeria y me acabas de solucionar mil tareas.. solo me gustaria saber cada cuando se actualiza para ir descargandola... gracias, Soy médico, y quiero dar al desarrollador/res de este programa mi más sincera enhorabuena... Es bastante útil... Me molesta un poco la publicidad, pero ya se sabe es gratuita,entonces es lo que hay. Por poner una pequeña pega, en el aspecto visual podría ser más interesante. Enhorabuena por el trabajo realizado]"
MEDizzy,https://play.google.com/store/apps/details?id=com.medizzy.android,"MEDizzy is one place to find the most awesome medical images, videos, cases, articles and learning materials. Become a part of our medical community and share the best medical stuff you find online with other medical peers around the globe. Install MEDizzy and: • Find thousands of amazing medical images, photos videos and animations. • Search for useful learning materials for medical exams (USMLE, MCAT, GAMSAT and more). • Follow interesting medical cases. • Stay up to date with the latest news and articles. • Create personal collections of your favourite posts. • Comment and discuss with medical peers from around the world. • Invite your medical friends and join over 80 000 MEDizzy community. • Share the best medical stuff directly from Pinterest, YouTube, Tumblr, Twitter and other online sources. • Post photos directly from your device. Perfect app for premeds, medical students, doctors, nurses and other medical professions. Get MEDizzy app and simply create one place with the medical content you love! MEDizzy es un lugar para encontrar las más impresionantes médicos imágenes, videos, casos, artículos y materiales de aprendizaje. Convertido en una parte de nuestra comunidad médica y compartir el mejor material médico que encuentra en línea con otros compañeros médicos de todo el mundo. Instalar y MEDizzy: • Encuentre miles de sorprendentes imágenes, fotos videos y animaciones médicas. • Búsqueda de materiales de aprendizaje útiles para exámenes médicos (USMLE, MCAT, GAMSAT y más). • Siga casos médicos interesantes. • Manténgase al día con las últimas noticias y artículos. • Crear colecciones personales de sus mensajes favoritos. • comentar y discutir con sus compañeros médicos de todo el mundo. • Invite a sus amigos médicos y unirse a más de 80 000 MEDizzy comunidad. • Compartir la mejor materia médica directamente de Pinterest, YouTube, Tumblr, Twitter y otras fuentes en línea. • Publicar fotos directamente desde su dispositivo. aplicación perfecta para premedicación, estudiantes de medicina, médicos, enfermeras y otros profesionales de la medicina. Obtener MEDizzy aplicación y simplemente crear un solo lugar con el contenido médico que amas!",88,4.9,3,84,[Bug fixes and improvements],"[¡¡Super!!, Gran app, Excelente app, Es una excelente aplicación pero tienen que poner idioma en español y las traducciones de los post que suben las demás personas. Amo esta aplicación pero le faltaría el detalle de los idiomas y poder entrar a los perfiles de las demas usuario. El resto es perfecto]"
Enfermedades FREE,https://play.google.com/store/apps/details?id=com.soft24hours.directorys.medical.diseasemulti.free,"Hemos compilado mas de 1200 enfermedades y afecciones del ser humano, junto a la ficha descriptiva de cada enfermedad escrita en un lenguaje sencillo y claro. ""Diccionario de Enfermedades"" diseñado para proporcionar hechos extensos pero concisos acerca de una variedad de enfemedades, padecimientos y lesiones. Todas las fichas descriptivas en esta guía rápida de referencia están revisadas por médicos y reflejan la evidencia más actualizada y basada en información. Características Diccionario de Enfermedades: - Más de 1 200 definiciones - Bookmark palabras de uso común - Añadir nuevas palabras al diccionario y ampliar su propia base de dato Esta información se proporciona para complementar el cuidado que le brinda su médico. No pretende ni implica ser un sustituto para un consejo médico profesional. Siempre busque la opinión de su médico o de otra persona calificada antes de comenzar cualquier nuevo tratamiento o con respecto a cualquier pregunta que tenga sobre su condición médica.",1996,4.5,397,1403,"[- Added description of the disease., - Fixed bugs;]","[La verdad que me ha encantado, soy bastante jovencita, pero soy curiosa y ya que dentro de unos años quiero un doctorado en medicina, estoy instalando un montón de appstore de este tipo, y sinceramente me ha encantado, las explicaciones son bien completas y sencillas, el único defecto es que a veces se juntan las palabras, es decir, por ejemplo, ""Abscesodelapulpa"", pero por lo demás fabulosa., Me guia en mi hogar, Sin lugar a dudas la mejor de todas!, Es muy buena, la verdad instruye muy bien excelente para aprender !!!!!, Excelente, faltan enfermedades, pero es versátil, yo la recomiendo, ayuda mucho en la atención del ciudadano común, te enseña palabras al aplicar primeros auxilios, le das un informe detallado al médico, La aplicación me encanta, nos brinda conocimiento eso esta bien ? pero seria bueno que pusieran imágenes de acuerdo a las enfermedades, si lo hacen esta App seria excelente ?]"
Niño o Niña - Predecir el Sexo,https://play.google.com/store/apps/details?id=tikamori.com.boyorgirl,"Esta aplicación ""Muchacho o muchacha"" ayuda a determinar el sexo de su futuro bebé utilizando varias metodologías. ? ¡Haga un pedido personalizado a la cigüeña! Con esta aplicación ""Muchacho o muchacha"", podrá predecir con bastante probabilidad el sexo de su futuro bebé. Hay una gran cantidad de métodos de planificación del sexo de su bebe: ""La renovación del grupo sanguíneo"", ""Determinación del sexo del bebé según el grupo sanguíneo de los padres"", ""Predecir el Genero (sexo) - chino"", etc. Todo el mundo sabe que las cigüeñas entregan los bebés ... Pero no todo el mundo sabe que las cigüeñas comprobar con esta aplicación para saber exactamente con quién está está esperando! ¿Qué técnicas se utilizan en la aplicación? 1. La renovación del grupo sanguíneo. Como se sabe, la sangre en el cuerpo femenino se renueva cada 3 años, mientras que en el cuerpo masculino este proceso se realiza cada 4 años. Según esta metodología, la sangre del progenitor que resulte más ""joven"" será la que determinará el sexo del bebé. 2. Determinación del sexo del bebé según el grupo sanguíneo de los padres. Se comparan los grupos sanguíneos de la pareja. Algunas parejas tienen mayores posibilidades de concebir un niño, mientras que otras son más propensas a tener una niña. Por ejemplo, un hombre y una mujer con el grupo sanguíneo I tienen mayores probabilidades de concebir una niña, mientras que los portadores del grupo sanguíneo IV deberían esperar el nacimiento de un niño. También es importante el factor Rh. Si ambos padres lo tienen positivo o negativo, sería otro factor a favor del nacimiento de una niña. 3. Predecir el Genero (sexo) - chino. Este enfoque utiliza la información sobre la edad de la futura madre y cuando ella quedó embarazada. La leyenda dice que el ""gráfico"" tiene más de 700 años y fue descubierto en una tumba real. ""¡Estoy embarazada! ¿Qué sigue? ""- Siempre hay tiempo en que cada mujer se hace esta pregunta. Eventualmente se haya pasado a través de la planificación de nacimiento de su bebé, y ahora que está embarazada en el último. Pero hay aún queda la pregunta principal: ""¿Quién?"" Niño o niña? adorable hija o un hijo inteligente? predictor de género china junto con otros métodos de esta aplicación le ayudará a predecir el sexo de su bebé antes de nacer antes de que sería posible gracias a la investigación del ultrasonido. Así que no es un reto para la cigüeña que le entregue una bebé tan esperado o un niño. [Sugerencias y deseos] Su opinión es importante para nosotros. Usted puede escribir a nuestro correo: data852@gmail.com",4312,4.3,461,3040,[],"[Muyyy buena!!, Es coll me encanta disfruten el juego, Es muy buena me dio lo que es me encanta!!, Es muy bonito y cool ?, Es un juego divertido, Concuerda cn mi bebe]"
Ejercicios para los ojos,https://play.google.com/store/apps/details?id=andrei.brusentcov.eye_exercises.free,"Los ejercicios oculares están diseñados para fortalecer los músculos de los ojos, mejorar el enfoque y el movimiento de los ojos. Un par de sencillos ejercicios de relajación para los ojos pueden ser de gran ayuda. Solo necesitará unos minutos para ponerlos en práctica en cualquier sitio ya cualquier hora. Esta aplicación contiene un conjunto de ejercicios para mejorar la visión. Para tener éxito en la corrección de la visión mediante el ejercicios para los ojos necesitan para la práctica regular y correcta. La aplicación le ayudará a hacer ejercicios para los ojos sobre una base regular y en un momento conveniente para usted. Características: - Gimnasia para los ojos cada día - Prevención de la miopía (miopía) - Prevención de la hipermetropía - Los recordatorios personalizables - Despertador - Estadísticas ADVERTENCIA No se garantiza que los entrenamientos proporcionen resultados perceptibles/sustanciales. Esta aplicación no puede sustituir el consejo de su médico. Esta aplicación no puede sustituir el tratamiento médico. DISCLAIMER: Eye exercises are not guaranteed to give perceptible/substantial results. This application can not replace the advice of your doctor. This application can not replace medical treatment.",4723,4.6,1075,3260,[],"[Buena app, no digo excelente por que suena muy pedante .... ""Excelente""!!!!!! jijiji Que tontería de palabra.... Y que cursilería xd...Solo oírla o pronunciarla., me produce asco... Jajaja, Había leído sobre estos ejercicios y la técnica en un libro de título recuperar la vista sin lentes. De hecho los hago. Es interesante tener la guía para hacerlos y los recordatorios. Muy bueno, Sirve muchisimo,y mas si sos un apacionado lector que no aparta sus ojos de los libros Te ayuda muchisimo,la verdad me sirve mucho la amo? No se que haria sin esta app ?, Perfecta Muy buena, me lloraba el ojo izquierdo, y con éstos ejercicios, al cabo de pocos días, ya no me llora. Es una gimnasia para los ojos y seguro que protege la vista., Excelente Estos ejercicios los vi en internet. Pero aqui tienes el control para hacerlo. Y si te va mejorando la vista por que los ojos son musculos que requieren ejercicio, Cuesta un poco Pero todo lo que sea para ayudar a la vista se merece un diez]"
Ear Agent (Oído Espía),https://play.google.com/store/apps/details?id=com.microphone.earspy,"Haz click en el botón central y podrás escuchar todo un mundo a tu alrededor. Si quieres escuchar conversaciones o simplemente escuchar mejor la televisión, Ear Agent tiene como objetivo darte un súper oído y mejorar lo que escuchas. Hay más cosas sucediendo a tu alrededor de lo que crees. Es hora de escucharlas. SE REQUIERE EL USO DE AURICULARES. La no utilización de auriculares puede resultar en un sonido muy pobre. ¡Estás advertido! Ear Agent amplifica el sonido que entra por el micrófono del móvil directamente a tus auriculares. Para ajustar con más definición la señal de entrada, utiliza el ecualizador gráfico de audio. Actualiza a la versión Pro para obtener alguna de las siguientes ventajas: --Ecualizador gráfico más completo (más de 5 bandas, si tu móvil lo soporta) --Cancelación de Eco (CE) --Eliminación de ruido (ER) --Virtualizador (Para Android 4.1 y superior) --Control automático de ganancia (CAG) --Refuerzo de graves (Bajo) --Grabación MP3 --Widget para pantalla de inicio --¡Sin publicidad espía! ¿Eres un blogger? Nos encantaría que le contaras a tus lectores acerca de nuestras aplicaciones. Puedes descargar imágenes y recursos en http://www.overpass.co.uk/app/ear-spy/ o ponerte en contacto con nosotros en info@overpass.co.uk para cualquier información que puedas necesitar. Bueno o malo, permite que tus lectores se enteren. Aviso de privacidad Nosotros no recogemos ni almacenamos información acerca de los usuarios de esta aplicación. Una vez descargada, se ejecuta en tu móvil y no se comunica nunca con nuestros servidores. Renuncia a reclamaciones Nosotros no consentimos el uso de Ear Agent para quebrantar las leyes o para entrometerse en conversaciones privadas. Por favor, utiliza Ear Agent de forma responsable.",39593,3.7,5617,19625,"[Changed name from ""Ear Spy"" to ""Ear Agent"" to comply with Google Play Policies., Don't forget to leave a review!]","[Exelente me saca de apuros, Super, Le falta mas clarida, Muy ineresante, Pinche aplicación culera. Para nada sirve ?, No sirve de nada solo escucho lo de a unos dos.merros]"
Cirugia Estetica Multiestetica,https://play.google.com/store/apps/details?id=com.multiestetica.users,"¡Encontrar al mejor médico o cirujano estético nunca fue tan fácil y cómodo! Esta App gratuita te pone a un clic de los 8.000 mejores doctores y cirujanos estéticos de Colombia, Chile y Argentina, ordenados por categorías, con opiniones de personas como tú y con toda la información necesaria para seleccionar, hacer una pregunta o pedir cita al especialista que elijas. Accede además a la información más completa (ficha técnica, artículos, fotos de antes y después y vídeos) sobre más de 160 tratamientos médico-estéticos, desde aumento de pecho a rinoplastia y desde hilos tensores a implantes capilares. Lee experiencias de miles de pacientes que han dejado su testimonio y sus fotos 100% reales de antes y después en la mayor comunidad de cirugía estética online ¿QUÉ PUEDO HACER CON LA APP? - Accede a más de 160 tratamientos de medicina y cirugía estética - Escoje al mejor especialista consultando las recomendaciones de otras personas - Contacta directamente con tu médico, pide cita o realiza una consulta - Consulta miles de experiencias de pacientes 100% reales - Únete a la mayor comunidad de estética y resuelve tus dudas con los demás usuarios - Ahorra dinero aprovechando las ofertas exclusivas que tenemos para ti ¿QUÉ TRATAMIENTOS PUEDES CONSULTAR? Puedes encontrar información de muchísimos tratamientos, entre ellos: - Aumento de senos - Depilación Láser - Eliminación de tatuajes - Rejuvenecimiento facial - Mesoterapia - Tratamiento de varices - Blefaroplastia - Aumento de labios - Laser vascular - Rinoplastia - Lifting - Y así más de 160 tratamientos e intervenciones diferentes",317,4.6,59,231,"[Si disfrutas usando la app, tómate un minuto para valorarnos con una reseña en la tienda. ¡Nos ayudará mucho a seguir mejorando!, Se ha mejorado la estabilidad y se han corregido errores menores., ¡Gracias por seguir con nosotros!]","[Yo tengo 62 años .sufro de hipotiroidismo y tengo una situación terrible se ha salido papada mi Pregunta es mi pueden operar y corregir este problema? Gracias, No puedo registrarme es imposible crear la contraseña para registrarme?????, Buena fuente para recopilar información. Sobre cirujanos y leer testimonios!! Todo en un solo lugar, ayuda ene!!, Interesante los procedimientos, pero en ninguna parte aparece un valor aproximado, por último dentro de un rango, desde tantos a tantos millones, Parece bien de comunicando sin problema y muy cantadora, muy buena aplicacion. sencilla y rapida. te ayuda en todas las dudas que uno pueda tener.]"
Calendario ovulación y período menstrual Ladytimer,https://play.google.com/store/apps/details?id=com.ladytimer.ovulationcalendar,"El calendario de la ovulación LADYTIMER sigue y predice los días del ciclo menstrual. La aplicación por lo tanto ayuda a las mujeres a identificar los días fértiles del mes, con el fin de lograr o evitar un embarazo. * Calculadora período fácil de usar * Calendario de fertilidad con gráficos de temperaturas * Datos históricos de la menstruación * Avisos menstruación, ovulación y fertilidad * Avisos píldoras anticonceptivas * Avisos exámenes médicos * Rastreador intimidad * Seguimiento de los períodos irregulares * Chat y mensajería directa en español * Rastreador moco cervical * Videos educativos de fertilidad * Calendario por síntomas, estados de ánimo, peso, PMS, sueño, condición física, etc * Predicción bebé: niño o niña * Un diario personal para cada mujer * Compatible con la mayoría de móviles * Compartir calendario con su médico o su pareja * LadyCloud sincronización de datos automática * Excelente asistencia al usuario Ingrese su último período y la duración del ciclo. Si no está disponible, usted puede indicar los días de inicio de sus períodos y deje que Ladytimer calcule su ciclo. Para mayor precisión, introduzca su temperatura corporal en reposo, Ladytimer va a utilizarla para detectar la ovulación. Registre datos como síntomas, estados de ánimo, peso, notas, intimidad, medicamentos, etc. Haga preguntas y conectese con otros usuarios de Ladytimer en nuestro foro de discusión. Los datos de su calendario de fertilidad se pueden guardar en línea y pueden ser importados en cualquier Smartphone cuando sea necesario. Nunca perdera sus datos cuando se cambia de teléfonos. Cree una página de su calendario para el médico o su pareja. Usted puede elegir los elementos que desee compartir. — Ladytimer • el calendario de la menstruación más avanzado —",62302,4.4,11607,42414,"[necesita ayuda? android@ladytimer.com, cómo restaurar sus datos: toque Usuario existente - Importar mis datos]","[genial yo tengo reglas irregulares.. y gracias a esto las controlo mejor.. ya no me parecen tan irregulares desde que las controlo.. sí, mi ciclo es más largo.pero no me había dado cuenta del patrón que seguía mi cuerpo hasta empezar a usar esta aplicación. estoy super satisfecha, Muy segura Me encanta porque es con contraseña y puedo poner notas que se que jamas leera nadie , mas que yo... Y es muy acertada yo no quiero embarazarme aun y a la fecha no he quedado embarazada con mi control... Me encanta, Hola estamos iniciando un grupo en facebook que se llama LadyTimer en Español.... es para ayudarnos con dudas y tener respuestas seguidas ya que aquí se pierden un poco la continuidad,... TODAS SON BIENVENIDAS!!!.... es un grupo cerrado por lo q solo quienes somos miembros podemos ver y publicar, solo aceptamos mujeres :-), Me encanta todas las informaciones que brinda. Esta app te empodera de tu ciclo proporcionandote control sobre él, para que no olvides nada! Y sobre todo, es muy fácil de usar y te permite recuperar tus datos cuando cambias de teléfono! Cada vez que me comunico con el soporte técnico vía Email he recibido respuesta inmediata y la solución a mi problema!, Muy Buena APP es realmente exacta, a mi me ayudo muchisimo porque era irregular y lo vengo usando ya hace bastante tiempo, cada vez q cambio de celular siempre lo instalo y como tengo cuenta registrada es todo mas facil. RECOMENDADA ?????, Mi app favorita Creó que es una herramienta que no puede faltar en ningún dispositivo de las mujeres, sobre todo las que nos preocupa y ocupa nuestro ciclo reproductivo, es genial estar previamente anticipa de mis días así evitó accidentes jiji .]"
Frenos - BraceMate,https://play.google.com/store/apps/details?id=com.bracemateapp.bracemate,"Haz que la experiencia con tus frenos sea más emocionante mediante la creación de diferentes patrones con la ayuda de BraceMate. La aplicación tiene varias BraceMate funciones principales. Selector de Color: Una imagen realista de los dientes te permite elegir el color de tus frenos con una amplia gama de colores disponibles. La función compartir ha sido habilitada para que tu ortodoncista sepa de antemano qué colores quieres, de forma que él o ella pueda asegurarse de tener los colores disponibles para ti. La aplicación te proporciona información fácil de leer sobre cómo cuidar tus frenos durante todo el tratamiento para asegurar una experiencia sin mayores complicaciones. También contiene información sobre la forma de gestionar emergencias que pudiesen surgir relacionadas con tus frenos. El selector de color Cuenta con una pantalla fácil de usar que permite a los usuarios ver cómo lucen tus frenos con diferentes colores y patrones. Algunas aplicaciones tienen una imagen caricaturesca de los dientes que hace difícil visualizar como se verán sus frenos. BraceMate te muestra dientes de verdad para que la experiencia sea lo más real posible. Otras aplicaciones sólo te permiten saber cómo se verán los dientes sólo con un conjunto de colores a la vez. La aplicación BraceMate te permite apreciar cómo se verán tus dientes con diferentes patrones de color. Puedes apoyar a tu equipo o los colores nacionales. Puedes modificar tus frenos para el próximo evento social. La función Compartir te permite enviar fotos a tu ortodoncista para ahorrarle tiempo cuando estés en tu cita y, te permite elegir los colores a tu propio ritmo. La función compartir también te permite reenviar el diseño de color propuesto a tus amigos para que ellos te ayuden a decidir si los colores son perfectos para ti. Hay información de mantenimiento fácil de leer para ayudarte a cuidar de tu sonrisa durante el tratamiento. Entre mejor mantengas tus dientes más rápido será tu tratamiento y mejor será tu sonrisa cuando el tratamiento haya terminado. La información de emergencia fácil de leer es una lista completa de los posibles problemas que podrían ocurrir durante el tratamiento. Es una guía práctica para todas las cuestiones que te pueden preocupar cuando no puedes contactar a tu ortodoncista. Por último, se trata de una aplicación gratuita, hecha por profesionales y para los pacientes. El objetivo es ofrecer mejores resultados para todos los involucrados. Tiempos más rápidos de tratamiento, pacientes más felices y ortodoncistas más felices. Includes colour selections for: •AB Orthodontics •American Orthodontics If you are an orthodontist and wish to contact the developers for your own customised app please visit www.bracemateapp.com",1248,4.0,135,769,"[? Performance improvements., ? Added translations for Filipino, Swedish, and Croatian., ? Improved image quality., ? Bug fixes.]","[Me encanto, te dice como tratar con los brackets si eres nuevo en eso y hasta tiene consejos sobre el malestar u otras cosas, sin contar que puedes diseñar tus propias combinaciones, sinceramente la mejor app que he visto hasta ahora., Me ayudo muchísimo, soy una persona muy indecisa y no tenía ni idea del color. Es una aplicación fantástica, Buena app,la verdad como en 2 semanas me van a poner bráckets entonces yo no sabia ni que color ponérmelos así que encontré este milagro jaja,ahora eh hecho muchas creaciones para ver a final por cual me decido? Felicidades creadores??, Hola tengo 11 añoa y este año me pondran barckets. Estaba un poco obsesionada por como me quedarian sinceramente pero esta app me ha ayudado mucho!!!, Me ayudo mucho a escoger el color perfecto, ¡Azul!, Me encanta!! Tengo brackets y la verdad que si me a ayudado y más todavía en decidirme que ligas usar cada mes ?]"
Diccionario Enfermedades Free,https://play.google.com/store/apps/details?id=com.ufo.disease,Conatain toda la enfermedad con significado sólo para entender la enfermedad lo que exactamente es lo que tiene que aumentar su conocimiento sobre la enfermedad muy servicial y amable por naturaleza. Principales características: 1. Descripción detallada de las principales enfermedades médicas y Estado: - Función de búsqueda rápida - Puede buscar Enfermedad Común Top 10 del mundo: - Le proporcionará consejos de salud para mantenerse en forma y saludable: - Definición; - Los síntomas; - Causas; - Factores de riesgo; - Complicaciones; - Tratamientos - Fácil de compartir con tus amigos - Usted puede buscar fácilmente Historia Esta información se proporciona para complementar el cuidado que le brinda su médico. No pretende ni implica ser un sustituto para un consejo médico profesional. Siempre busque la opinión de su médico o de otra persona calificada antes de comenzar cualquier nuevo tratamiento o con respecto a cualquier pregunta que tenga sobre su condición médica.,12543,4.6,2730,8976,[fix some bugs],"[Muy buena Bastante completa y practica aunqque faltan algunos detalles pues por ejemplo afta bucal no solo es por la candidiasis oral,es multifactorial,esos detalles sobre algunos enfoques de algunos terminos es que deben mejorar y asi tendran las 5estrellas, Muy bueno, pero.... Deberían cambiar un poco los nombre de algunas patología, que según consensos actuales ya no se les llaman así y tienen cambio en su definición pero, para salir de dudas es realmente util, Ya actualicen el app, faltan varias enfermedades todavia y esto me sirve muchisimoo si es que lo actualizan rapido yo les valoro con todas sus estrellas porque este app es muy util para mi, Me paresio super bien este libro pero le pueden agregar mas patologias gracias Las q mas son util en la vida de trabajo soy estudiante y me parese conocer mas sobre patologias, Buena pero... Desde mi punto de vista, le hace falta contenidos sobre algunas patologías mas básicas y cotidianas, estaría bueno que pudieran hacer una revisión y tener en cuenta esta opción. De esa manera le daría mas estrellas..., Exelente Es la primera ves que aplico diccionario de en enfermadades lo estube analizando y es muy bueno lo recomiendo un servidor se desempeña como bombero paramedico en el H. Cuerpo de Bomberos de los Reyes la Paz Edo. de Mex. y lo recomiendo]"
